epoch,learning_rate,loss,step
17.8,1e-05,0.8869,4040
17.84,1e-05,0.9531,4050
17.89,1e-05,0.9838,4060
17.93,1e-05,0.8617,4070
17.97,1e-05,0.8426,4080
18.02,1e-05,0.8008,4090
18.06,1e-05,0.8674,4100
18.11,1e-05,0.8178,4110
18.15,1e-05,0.835,4120
18.19,1e-05,0.7955,4130
18.24,1e-05,0.8698,4140
18.28,1e-05,0.7934,4150
18.33,1e-05,0.7956,4160
18.37,1e-05,0.8894,4170
18.41,1e-05,0.7582,4180
18.46,1e-05,0.8995,4190
18.5,1e-05,0.8573,4200
18.55,1e-05,0.9024,4210
18.59,1e-05,0.8575,4220
18.63,1e-05,0.8683,4230
18.68,1e-05,0.7505,4240
18.72,1e-05,0.7453,4250
18.77,1e-05,0.7874,4260
18.81,1e-05,0.8794,4270
18.85,1e-05,0.788,4280
18.9,1e-05,0.8467,4290
18.94,1e-05,0.7912,4300
18.99,1e-05,0.9496,4310
19.03,1e-05,0.7951,4320
19.07,1e-05,0.7001,4330
19.12,1e-05,0.8002,4340
19.16,1e-05,0.8234,4350
19.21,1e-05,0.8302,4360
19.25,1e-05,0.8424,4370
19.3,1e-05,0.6801,4380
19.34,1e-05,0.7742,4390
19.38,1e-05,0.7588,4400
19.43,1e-05,0.7752,4410
19.47,1e-05,0.8228,4420
19.52,1e-05,0.7431,4430
19.56,1e-05,0.813,4440
19.6,1e-05,0.8114,4450
19.65,1e-05,0.768,4460
19.69,1e-05,0.7958,4470
19.74,1e-05,0.7864,4480
19.78,1e-05,0.9033,4490
19.82,1e-05,0.815,4500
19.87,1e-05,0.8787,4510
19.91,1e-05,0.7564,4520
19.96,1e-05,0.8192,4530
20.0,1e-05,0.6827,4540
20.04,1e-05,0.756,4550
20.09,1e-05,0.7307,4560
20.13,1e-05,0.7178,4570
20.18,1e-05,0.7102,4580
20.22,1e-05,0.7854,4590
20.26,1e-05,0.8014,4600
20.31,1e-05,0.7841,4610
20.35,1e-05,0.8001,4620
20.4,1e-05,0.7472,4630
20.44,1e-05,0.8054,4640
20.48,1e-05,0.6231,4650
20.53,1e-05,0.721,4660
20.57,1e-05,0.7289,4670
20.62,1e-05,0.7641,4680
20.66,1e-05,0.7466,4690
20.7,1e-05,0.7539,4700
20.75,1e-05,0.7131,4710
20.79,1e-05,0.7455,4720
20.84,1e-05,0.7448,4730
20.88,1e-05,0.6965,4740
20.93,1e-05,0.6437,4750
20.97,1e-05,0.81,4760
21.01,1e-05,0.7376,4770
21.06,1e-05,0.7762,4780
21.1,1e-05,0.662,4790
21.15,1e-05,0.7079,4800
21.19,1e-05,0.7487,4810
21.23,1e-05,0.6179,4820
21.28,1e-05,0.7546,4830
21.32,1e-05,0.6553,4840
21.37,1e-05,0.6692,4850
21.41,1e-05,0.6309,4860
21.45,1e-05,0.6573,4870
21.5,1e-05,0.6759,4880
21.54,1e-05,0.7297,4890
21.59,1e-05,0.6265,4900
21.63,1e-05,0.7404,4910
21.67,1e-05,0.704,4920
21.72,1e-05,0.6792,4930
21.76,1e-05,0.8355,4940
21.81,1e-05,0.6957,4950
21.85,1e-05,0.7075,4960
21.89,1e-05,0.6952,4970
21.94,1e-05,0.7556,4980
21.98,1e-05,0.7104,4990
22.03,1e-05,0.6698,5000
22.07,1e-05,0.6521,5010
22.11,1e-05,0.6061,5020
22.16,1e-05,0.6491,5030
22.2,1e-05,0.7382,5040
22.25,1e-05,0.6449,5050
22.29,1e-05,0.6064,5060
22.33,1e-05,0.6603,5070
22.38,1e-05,0.6423,5080
22.42,1e-05,0.7005,5090
22.47,1e-05,0.621,5100
22.51,1e-05,0.6509,5110
22.56,1e-05,0.6637,5120
22.6,1e-05,0.6475,5130
22.64,1e-05,0.6529,5140
22.69,1e-05,0.6587,5150
22.73,1e-05,0.624,5160
22.78,1e-05,0.687,5170
22.82,1e-05,0.6739,5180
22.86,1e-05,0.5871,5190
22.91,1e-05,0.6391,5200
22.95,1e-05,0.7342,5210
23.0,1e-05,0.6913,5220
23.04,1e-05,0.6536,5230
23.08,1e-05,0.5791,5240
23.13,1e-05,0.5358,5250
23.17,1e-05,0.6205,5260
23.22,1e-05,0.6433,5270
23.26,1e-05,0.7262,5280
23.3,1e-05,0.6461,5290
23.35,1e-05,0.6165,5300
23.39,1e-05,0.7113,5310
23.44,1e-05,0.6316,5320
23.48,1e-05,0.5482,5330
